,Author,State,closed_at,created_at,issue_number,labels
0,TSP19SCM781,open,,2019-04-21,494,"['Category:Enhancement', 'DetectionPhase:Testing', 'OriginationPhase:Field', 'Priority:Critical', 'Status:Completed']"
1,TSP19SCM781,open,,2019-04-21,493,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Design', 'Priority:Major', 'Status:Completed']"
2,TSP19SCM781,open,,2019-04-21,492,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:inProgress']"
3,DSP19SCM782,open,,2019-04-21,491,"['Category:Bug', 'DetectionPhase:Field', 'OriginationPhase:Field', 'Priority:Major', 'Status:pendingReview']"
4,DSP19SCM782,open,,2019-04-21,490,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:High', 'Status:pendingReview']"
5,DSP19SCM781,open,,2019-04-21,489,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Requirements', 'Priority:Low', 'Status:Completed']"
6,DSP19SCM781,open,,2019-04-21,488,"['Category:Bug', 'DetectionPhase:Testing', 'OriginationPhase:Field', 'Priority:Low', 'Status:Rejected']"
7,DSP19SCM781,open,,2019-04-21,487,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Documentation', 'Priority:Major', 'Status:pendingReview']"
8,SSP19SCM781,open,,2019-04-20,486,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:pendingReview']"
9,SSP19SCM781,open,,2019-04-20,485,"['Category:Enhancement', 'DetectionPhase:Field', 'OriginationPhase:Testing', 'Priority:Critical', 'Status:Approved']"
10,SSP19SCM781,open,,2019-04-20,484,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Design', 'Priority:High', 'Status:inProgress']"
11,SSP19SCM782,open,,2019-04-20,483,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Field', 'Priority:High', 'Status:Approved']"
12,SSP19SCM782,open,,2019-04-20,482,"['Category:Bug', 'DetectionPhase:Field', 'OriginationPhase:Field', 'Priority:Major', 'Status:inProgress']"
13,JSP19SCM03G,closed,2019-04-20,2019-04-20,480,"['Category:Enhancement', 'DetectionPhase:Testing', 'OriginationPhase:Requirements', 'Priority:Critical', 'Status:Completed']"
14,ZSP19SCM65P,open,,2019-04-20,479,"['Address:McDonalds 2525 S King Dr Chicago 60616', 'Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Design', 'Priority:Medium', 'Status:Approved']"
15,YSP19SCM26X,closed,2019-04-19,2019-04-18,477,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Testing', 'Priority:High', 'Status:inProgress']"
16,RSP19SCM781,open,,2019-04-18,476,"['Category:Bug', 'DetectionPhase:Field', 'OriginationPhase:Documentation', 'Priority:High', 'Status:inProgress']"
17,RSP19SCM781,open,,2019-04-18,475,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Major', 'Status:inProgress']"
18,TSP19SCM782,open,,2019-04-18,474,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:Rejected']"
19,TSP19SCM782,open,,2019-04-18,473,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Major', 'Status:inProgress']"
20,TSP19SCM782,open,,2019-04-18,472,"['Category:Enhancement', 'DetectionPhase:Testing', 'OriginationPhase:Design', 'Priority:Low', 'Status:pendingReview']"
21,DSP19SCM782,open,,2019-04-18,471,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:Completed']"
22,DSP19SCM782,open,,2019-04-18,470,"['Category:Bug', 'DetectionPhase:Testing', 'OriginationPhase:Coding', 'Priority:Major', 'Status:Completed']"
23,TSP19SCM781,open,,2019-04-18,469,"['Category:Enhancement', 'DetectionPhase:Field', 'OriginationPhase:Field', 'Priority:High', 'Status:inProgress']"
