c990cc2,Jinchen Jiang,2019-04-07,Fixes #267. JSP19SCM42J last name added.
3ceba30,Pengyuan Li,2019-04-06,Merge pull request #257 from HSP19SCM72L/master
7c94d61,Pengyuan Li,2019-04-06,Merge branch 'master' into master
22c0558,Pengyuan Li,2019-04-06,Merge pull request #252 from PSP19SCM38K/master
96a21d2,HSP19SCM72L,2019-04-06,Fixes SPM587SP19#255 HSP19SCM72L last name added
8852d29,HSP19SCM72L,2019-04-06,Fixes #255 HSP19SCM72L last name added
6.404E+09,pkharate,2019-04-06,Fixes #251. PSP19SCM38K last name added
acdd686,MSP19SCM18H,2019-04-06,Merge pull request #250 from MSP19SCM18H/master
a17439b,MSP19SCM18H,2019-04-06,Fixes #249. MSP19SCM18H last name added
1015454,Pengyuan Li,2019-04-06,Merge pull request #248 from HSP19SCM19M/master
bbd0433,Pengyuan Li,2019-04-06,Merge pull request #247 from ZSP19SCM13W/master
b7ca2c5,HSP19SCM19M,2019-04-05,Fixes#246.HSP19SCM19M last name added
d9b95b6,Zhaoyang Wei,2019-04-05,Fixes #230. ZSP19SCM13W first name added
fad5d61,Zhaoyang Wei,2019-04-05,Fixes #230. ZSP19SCM13D first name added
8e1b9b5,Pengyuan Li,2019-04-05,Merge pull request #234 from RSP19SCM73K/master
b4dbc8e,ZSP19SCM95D,2019-04-05,Merge pull request #245 from ZSP19SCM95D/master
0bdae88,RSP19SCM73K,2019-04-05,Merge branch 'master' into master
35aafa3,RSP19SCM73K,2019-04-05,Fixes #231.RSP19SCM73K last name added.
51fe7ab,Pengyuan Li,2019-04-05,Merge pull request #233 from PSP19SCM40J/master
e179acb,PSP19SCM40J,2019-04-05,Merge branch 'master' into master
7d445c6,PSP19SCM40J,2019-04-05,Fixes #232.PSP19SCM40J last name added
c91c93d,PSP19SCM40J,2019-04-05,Fixes #232.PSP19SCM40J last name added
fc05849,PSP19SCM40J,2019-04-05,Fixes #232.PSP19SCM40J
2f45dad,shiwanshukr,2019-04-04,Merge branch 'master' of https://github.com/SPM587SP19/SCM587SP19
0f78d55,shiwanshukr,2019-04-04,"git commit -m ""Fixes#190 shiwanshukr first name added"""
ca5bf55,WSP19SCM39H,2019-04-04,Merge pull request #228 from WSP19SCM39H/master
3659ea8,WSP19SCM39H,2019-04-04,Fixes #227. WSP19SCM39H last name added
2ecc3b9,Zhongzhu,2019-04-04,Fixes #226.ZSP19SCM95D last name added
17a0d2f,Manukar Reddy,2019-04-04,Merge branch 'master' of https://github.com/SPM587SP19/SCM587SP19
5fae52b,Manukar Reddy,2019-04-04,Update s.java
f879822,Pengyuan Li,2019-04-03,Merge pull request #215 from MSP19SCM63X/master
aaeb60b,Minhua Xu,2019-04-03,Fixes #210. MSP19SCM63X first name added
e802226,Manukar Reddy,2019-04-03,Update s.java
790f757,Manukar Reddy,2019-04-03,Update s.java
ed4ccd2,Pengyuan Li,2019-04-03,Merge pull request #214 from TSP19SCM80P/master
5926f1c,Pengyuan Li,2019-04-03,Merge pull request #213 from JSP19SCM03G/master
1.05E+57,TSP19SCM80P,2019-04-03,Fixes #185. TSP19SCM80P first name added
3c5032d,James,2019-04-03,Fixes #211.JSP19SCM03G first name added.
b7eccd6,TSP19SCM80P,2019-04-03,Fixes 185. TSP19SCM80P first name added
e9e1ba9,Pengyuan Li,2019-04-03,Update b.java
bafa1fd,Pengyuan Li,2019-04-03,Update b.java
199bf21,Pengyuan Li,2019-04-03,Update b.java
d4e46e6,Pengyuan Li,2019-04-03,Update b.java
eb1e962,Pengyuan Li,2019-04-03,Update b.java
cb176f9,Pengyuan Li,2019-04-03,Merge pull request #212 from ASP19SCM61G/master
86aabaa,ASP19SCM61G,2019-04-03,Merge pull request #1 from SPM587SP19/master
afefc9d,ASP19SCM61G,2019-04-03,"git commit -m""Fixes#182. ASP19SCM61G first name added"""
a3c62d1,Pengyuan Li,2019-04-03,Merge pull request #209 from PSP19SCM80S/master
c4b00e9,Pranit Rao Sajja,2019-04-03,Fixes #208. PSP19SCM80S first name added
73d47d6,Pengyuan Li,2019-04-03,Update j.java
2944090,Pengyuan Li,2019-04-03,Update a.java
0b2d5de,Pengyuan Li,2019-04-03,Merge pull request #207 from SSP19SCM40G/master
dda4ce5,SSP19SCM40G,2019-04-03,Fixes #206. SSP19SCM40G first name added
346b46b,Pengyuan Li,2019-04-03,Merge pull request #205 from ASP19SCM09A/master
6b1d87d,Pengyuan Li,2019-04-03,Merge pull request #204 from MSP19SCM59K/master
fc75d46,Pengyuan Li,2019-04-03,Merge branch 'master' into master
372b0eb,Pengyuan Li,2019-04-03,Merge pull request #203 from KSP19SCM20P/master
5157bf2,Pengyuan Li,2019-04-03,Merge pull request #202 from HSP19SCM39P/master
0e53d87,Manasa Kaushik,2019-04-03,"git commit-m ""Fixes#200.MSP19SCM59K first name added."""
624b4a5,KSP19SCM20P,2019-04-03,– git commit –m “Fixes #197.KSP19SCM20P first name added.”
711b9ad,ASP19SCM09A,2019-04-03,– git commit –m “Fixes #198. ASP19SCM09A first name added.”
7c70e9b,Pengyuan Li,2019-04-03,Merge pull request #201 from ajha8/master
c082ae4,Pengyuan Li,2019-04-03,Merge branch 'master' into master
2c7157d,HSP19SCM39P,2019-04-03,"“Fixes #199. HSP19SCM39P first name added."""
cdbf4de,Ayush Jha,2019-04-03,"git commit -m ""Fixes #191. ajha8 first name added"""
dfb4130,Pengyuan Li,2019-04-03,Merge pull request #196 from KSP19SCM75S/master
3782145,Pengyuan Li,2019-04-03,Merge branch 'master' into master
f2e6a9c,SSP19SCM75K,2019-04-03,Fixes #193.SSP19SCM75K Sabrina
d0304c7,Pengyuan Li,2019-04-03,Merge pull request #195 from MehulSin/master
ccf740e,Pengyuan Li,2019-04-03,Merge branch 'master' into master
8556044,shiwanshu kumar,2019-04-03,"git commit -m ""Fixes#190. shiwanshukr first name added"""
1ead457,krunal sevak,2019-04-03,Fixes #1.KSP19SCM75S first name added
6d4dac2,Pengyuan Li,2019-04-03,Merge pull request #194 from ASP19SCM32A/master
11644df,Pengyuan Li,2019-04-03,Merge branch 'master' into master
7f62361,Pengyuan Li,2019-04-03,Merge pull request #192 from HSP19SCM81A/master
c4d7156,Ayush Jha,2019-04-03,"git commit -m ""Fixes #191. ajha8 first name added"""
1ae0495,Haiyouer Aiyilaiti,2019-04-03,Fixes#178.HSP19SCM81A first name added
189fda2,Aishwarya Anantharam,2019-04-03,Fixes #181. ASP19SCM32A first name added
c84ba84,Pengyuan Li,2019-04-03,Merge pull request #189 from HSP19SCM81A/master
d66fbb1,Pengyuan Li,2019-04-03,Merge pull request #188 from PSP19SCM08P/master
c71e59a,Pengyuan Li,2019-04-03,Merge branch 'master' into master
0c0689b,Pengyuan Li,2019-04-03,Merge pull request #187 from SSP19SCM44W/master
8b61a6f,Pengyuan Li,2019-04-03,Merge branch 'master' into master
e2c9ff5,shiwanshu kumar,2019-04-03,"git commit -m""Fixes#190. shiwanshukr first name added"""
8e769a7,parthkumarjpatel,2019-04-03,Fixes #186.PSP19SCM08P first name added
1473ea3,Haiyouer Aiyilaiti,2019-04-03,Fixes#178.HSP19SCM81A first name added
80d70c2,Suyash Wattamwar,2019-04-03,Fixes#176.SSP19SCM44W last name added
7f18d42,ASP19SCM61G,2019-04-03,"git commit -m ""Fixes#182 ASP19SCM61G first name added"""
510fd85,Aishwarya Anantharam,2019-04-03,"Revert ""git commit -m ""Fixes #181. ASP19SCM32A first name added"""
f45eab7,ASP19SCM61G,2019-04-03,Merge branch 'master' of https://github.com/SPM587SP19/SCM587SP19
52c7313,ASP19SCM61G,2019-04-03,git add *
ecab88b,Aishwarya Anantharam,2019-04-03,"git commit -m ""Fixes #181. ASP19SCM32A first name added"""
1fc75c8,Aishwarya Anantharam,2019-04-03,Update a.java
c32e071,Aishwarya Anantharam,2019-04-03,Update a.java
3d68858,Pengyuan Li,2019-04-03,Merge pull request #184 from FSP19SCM57S/master
e046e3c,Pengyuan Li,2019-04-03,Merge pull request #175 from RSP19SCM73K/master
25c2aad,FNU Sandeep,2019-04-03,Update f.java
c09ecfc,Pengyuan Li,2019-04-03,Merge pull request #173 from SSP19SCM81Y/master
7c2c6a8,RSP19SCM73K,2019-04-03,Fixes #174. RSP19SCM73K first name added
c6c1c2b,SSP19SCM81Y,2019-04-03,Fixes #170. SSP19SCM81Y first name added
a122680,Pengyuan Li,2019-04-03,Merge pull request #171 from PSP19SCM76K/master
e9fb7e1,Pengyuan Li,2019-04-03,Merge pull request #167 from ASP19SCM59K/master
ffdd491,JSP19SCM59D,2019-04-03,Merge pull request #172 from JSP19SCM59D/master
c54b185,jinzhe dai,2019-04-03,Fixes #168. JSP19SCM59D last name added
8857a52,Preethi Krishnamoorthy Ramesh Kumar,2019-04-03,Fixes #169.PSP19SCM76K first name added
1399671,PSP19SCM76K,2019-04-03,Merge pull request #1 from SPM587SP19/master
889c813,ASP19SCM59K,2019-04-03,Update a.java
4d662ec,Pengyuan Li,2019-04-03,Merge pull request #166 from MinakshyRamachandran/master
4eec241,MinakshyRamachandran,2019-04-03,Update m.java
5f0d592,Pengyuan Li,2019-04-03,Merge pull request #165 from CSP19SCM54G/master
89eb613,MehulSin,2019-04-03,Update m.java
3d6b72f,ASP19SCM59K,2019-04-03,Update a.java
24fc793,CSP19SCM54G,2019-04-03,Fixes #150 CSP19SCM54G first name added
